Table name: cs3k_project_info Last updated: Apr 05, 2023 8:37 PM;;;;;;;;;;;;;;;;;;;;;;;;;
AvgSpotLen;BioSample;DATASTORE_provider;DATASTORE_region;Experiment;InsertSize;LibraryLayout;Library_Name;MBases;MBytes;Run;SRA_Sample;Sample_Name;Assay_Type;BioProject;Center_Name;Consent;DATASTORE_filetype;Instrument;LibrarySelection;LibrarySource;LoadDate;Organism;Platform;ReleaseDate;SRA_Study
;RSP10411;;;;0;PAIRED;RSP10411;;;RSP10411;RSP10411;818;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10156;;;;0;PAIRED;RSP10156;;;RSP10156;RSP10156;1988 Hash Plant;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10072;;;;0;PAIRED;RSP10072;;;RSP10072;RSP10072;CATATONIC (AC/DC);;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10084;;;;0;PAIRED;RSP10084;;;RSP10084;RSP10084;AC/DC;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10103;;;;0;PAIRED;RSP10103;;;RSP10103;RSP10103;CBDI AC/DC;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10107;;;;0;PAIRED;RSP10107;;;RSP10107;RSP10107;Afghan Kush;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10159;;;;0;PAIRED;RSP10159;;;RSP10159;RSP10159;African Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10559;;;;0;PAIRED;RSP10559;;;RSP10559;RSP10559;Agent Orange;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10605;;;;0;PAIRED;RSP10605;;;RSP10605;RSP10605;Agent Orange;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10120;;;;0;PAIRED;RSP10120;;;RSP10120;RSP10120;AK47;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10523;;;;0;PAIRED;RSP10523;;;RSP10523;RSP10523;ak47;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10299;;;;0;PAIRED;RSP10299;;;RSP10299;RSP10299;Amnesia Haze;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10132;;;;0;PAIRED;RSP10132;;;RSP10132;RSP10132;Arch Angel;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
;RSP10301;;;;0;PAIRED;RSP10301;;;RSP10301;RSP10301;Acrata Trainwreck;;;;;;;;GENOMIC;;Cannabis sativa;;;Kannapedia
